valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-09 03:00:00,-5.2663116,-0.56108093,-3.727234,-0.41859436,286.6729,289.95062,13.0,77.5
2025-01-09 04:00:00,-5.515442,-0.10417175,-4.0588226,-0.06326294,285.68158,290.6551,13.0,77.5
2025-01-09 05:00:00,-5.9622498,0.30500793,-4.464676,0.24133301,284.90823,292.87802,13.0,77.5
2025-01-09 06:00:00,-5.9763184,0.5976715,-4.5194397,0.4737091,285.74908,295.95258,13.0,77.5
2025-01-09 07:00:00,-5.489395,0.8858948,-4.193451,0.7085266,285.70108,296.67285,13.0,77.5
2025-01-09 08:00:00,-5.155075,1.1101837,-3.9545135,0.8913727,286.24036,297.98676,13.0,77.5
2025-01-09 09:00:00,-5.033798,1.3898926,-3.8574066,1.1005096,286.4464,298.2747,13.0,77.5
2025-01-09 10:00:00,-4.662079,1.9520721,-3.5400238,1.5089874,288.22174,297.64423,13.0,77.5
2025-01-09 11:00:00,-4.2615204,1.8690186,-3.1794128,1.3857269,288.16498,297.5954,13.0,77.5
2025-01-09 12:00:00,-4.3021545,1.3985596,-2.670761,0.8530426,288.12564,297.27917,13.0,77.5
2025-01-09 13:00:00,-5.2516937,1.309906,-2.797104,0.62646484,288.1942,297.03906,13.0,77.5
2025-01-09 14:00:00,-5.8777313,1.5819397,-3.161026,0.7851715,288.85016,296.7085,13.0,77.5
2025-01-09 15:00:00,-5.922333,1.8661499,-3.4075012,1.0568237,289.08136,295.0747,13.0,77.5
2025-01-09 16:00:00,-5.909897,1.9939117,-3.3099518,1.1122437,289.26328,294.60156,13.0,77.5
2025-01-09 17:00:00,-5.958069,2.0329132,-3.1612701,1.0616455,289.41748,292.9771,13.0,77.5
2025-01-09 18:00:00,-6.2355347,1.7507629,-3.3268738,0.8659973,289.22034,292.06696,13.0,77.5
2025-01-09 19:00:00,-6.6170044,1.3584595,-3.4782104,0.6109619,289.11343,291.54272,13.0,77.5
2025-01-09 20:00:00,-6.7888794,0.8337097,-3.5422058,0.29768372,288.9062,290.51385,13.0,77.5
2025-01-09 21:00:00,-6.7448273,0.37384033,-3.4918213,0.03640747,288.8319,290.0579,13.0,77.5
2025-01-09 22:00:00,-6.1471863,0.4167328,-3.1949158,0.11000061,289.0948,290.1254,13.0,77.5
2025-01-09 23:00:00,-5.6459656,0.45806885,-2.9993286,0.09933472,289.099,290.04556,13.0,77.5
2025-01-10 00:00:00,-5.0477448,0.1921997,-3.2255554,0.042373657,289.77884,291.01633,13.0,77.5
2025-01-10 01:00:00,-4.438507,-0.03541565,-3.077301,-0.07067871,289.72516,290.97803,13.0,77.5
2025-01-10 02:00:00,-4.0375214,-0.4242859,-2.8552704,-0.35758972,289.47632,291.0367,13.0,77.5
